PT8643 - 4008 117 08600  Revised: Monday, June 14, 2010
1          Revision: 2

DK-Technologies A/S





Bill Of Materials           June 18,2010      15:25:44	Page1

Item	Quantity	Reference	Part	PCB footprint	Varenummer
______________________________________________

1	1	C1	560 pF	0805	2222 861 15561
2	2	C2	22 pF	0603	4008 101 87400
		C3	22 pF	0603	4008 101 87400
3	19	C4	100 nF	0603	4008 101 87350
		C5	100 nF	0603	4008 101 87350
		C6	100 nF	0603	4008 101 87350
		C13	100 nF	0603	4008 101 87350
		C14	100 nF	0603	4008 101 87350
		C15	100 nF	0603	4008 101 87350
		C16	100 nF	0603	4008 101 87350
		C17	100 nF	0603	4008 101 87350
		C18	100 nF	0603	4008 101 87350
		C19	100 nF	0603	4008 101 87350
		C22	100 nF	0603	4008 101 87350
		C24	100 nF	0603	4008 101 87350
		C26	100 nF	0603	4008 101 87350
		C28	100 nF	0603	4008 101 87350
		C30	100 nF	0603	4008 101 87350
		C32	100 nF	0603	4008 101 87350
		C33	100 nF	0603	4008 101 87350
		C34	100 nF	0603	4008 101 87350
		C35	100 nF	0603	4008 101 87350
4	3	C7	10 uF	case_a	4008 101 87220
		C11	10 uF	case_a	4008 101 87220
		C12	10 uF	case_a	4008 101 87220
5	5	C8	1 nF	0603	4008 101 87370
		C9	1 nF	0603	4008 101 87370
		C10	1 nF	0603	4008 101 87370
		C20	1 nF	0603	4008 101 87370
		C21	1 nF	0603	4008 101 87370
6	5	C23	1 uF	0603	4008 101 87290
		C25	1 uF	0603	4008 101 87290
		C27	1 uF	0603	4008 101 87290
		C29	1 uF	0603	4008 101 87290
		C31	1 uF	0603	4008 101 87290
7	6	D1	LED	0805_led	LED SMD 0805 GREEN
		D2	LED	0805_led	LED SMD 0805 GREEN
		D3	LED	0805_led	LED SMD 0805 GREEN
		D4	LED	0805_led	LED SMD 0805 GREEN
		D5	LED	0805_led	LED SMD 0805 GREEN
		D6	LED	0805_led	LED SMD 0805 GREEN
8	1	IC1	C8051F130	tqfp100_p050_1600x1600	Farnell DK 129-1486
9	1	IC2	CP2200	tqfp48_p050_900x900	Farnell DK 118-6938
10	1	IC3	LM1117-3.3	sot223_1234	4008 102 13090
11	1	IC4	MAX3223	tssop20_065_650x650	NY
12	1	IC5	MAX4571	tssop28_p065_640x970	NY
13	1	IC6	MCP111	sot23-3_p100_230x290	Farnell DK 162-7194
14	1	J1	J00-0065NL	conn_ethernet_PE-j00-0065nl	Unknown
15	2	J2	conn_micromatch_10	conn_micromatch_10	2422 025 07159
		J4	conn_micromatch_10	conn_micromatch_10	2422 025 07159
16	1	J3	DB9 Female	conn_dsub_9_female_sip	5299-DB09RA/N
17	1	J5	CON20	conn_micromatch_20	2422 025 07164
18	1	J6	DB9 Male	conn_dsub_9_male_sip	5300-DB09RA/N
19	5	L1	10 uH	1210	8208 110 01600
		L2	10 uH	1210	8208 110 01600
		L3	10 uH	1210	8208 110 01600
		L4	10 uH	1210	8208 110 01600
		L5	10 uH	1210	8208 110 01600
20	1	R1	100R	0805	4008 100 40030
21	2	R2	8R2	0805	4008 100 40690
		R3	8R2	0805	4008 100 40690
22	4	R4	0R	0603	4008 100 50070
		R15	0R	0603	4008 100 50070
		R16	0R	0603	4008 100 50070
		R17	0R	0603	4008 100 50070
23	2	R5	NM	0603	
		R19	NM	0603	
24	1	R6	4K7	0805	4008 100 40370
25	1	R7	1K	0805	4008 100 40370
26	2	R12	330R	0805	4008 100 40650
		R13	330R	0805	4008 100 40650
27	1	R14	10M	0805	4008 100 40070
28	1	R18	10K	0603	
29	4	R25	430R	0805	4008 100 40330
		R26	430R	0805	4008 100 40330
		R27	430R	0805	4008 100 40330
		R28	430R	0805	4008 100 40330
30	2	R29	NM	0805	
		R30	NM	0805	
31	6	R31	0R	0805	4008 100 40330
		R32	0R	0805	4008 100 40330
		R33	0R	0805	4008 100 40330
		R34	0R	0805	4008 100 40330
		R35	0R	0805	4008 100 40330
		R36	0R	0805	4008 100 40330
32	9	TX1	TP	tp_08p04	
		TP1	TP	tp_08p04	
		TP2	TP	tp_08p04	
		TP3	TP	tp_08p04	
		TP4	TP	tp_08p04	
		TP5	TP	tp_08p04	
		TP6	TP	tp_08p04	
		TP7	TP	tp_08p04	
		TP8	TP	tp_08p04	
33	1	X1	20.000MHz	osc_smd_1100x470	4008 103 05090
